name,formattedAddress,location,displayName,websiteUri
places/ChIJAR5cs0S1w4kRjcYmsA68OBI,"4231 Arthur Kill Rd suite a, Staten Island, NY 10309, USA","{'latitude': 40.5231449, 'longitude': -74.23446290000001}","{'text': 'Laser My Logo, Inc', 'languageCode': 'en'}",
places/ChIJOQOQhItMwokRjCgQKl3Nnsc,"71 Winant Pl ste d, Staten Island, NY 10309, USA","{'latitude': 40.536992, 'longitude': -74.23978710000002}","{'text': 'Spartan Embroidery', 'languageCode': 'en'}",http://www.spartanembroidery.com/
places/ChIJ_WpPMnjKw4kRiIdznj8ISeA,"437 Amboy Ave, Perth Amboy, NJ 08861, USA","{'latitude': 40.516718399999995, 'longitude': -74.2759315}","{'text': 'Monogram Center', 'languageCode': 'en'}",http://www.monogramcenter.com/
places/ChIJx8Kkd1q1w4kR5dHBx_FySuE,"6833 Amboy Rd, Staten Island, NY 10309, USA","{'latitude': 40.519257599999996, 'longitude': -74.2296942}","{'text': 'Anything Apparel', 'languageCode': 'en'}",https://www.anythingapparel.com/
places/ChIJlSN6Zc61w4kR2RKPCLmGGKs,"250 Woodbridge Center Dr, Woodbridge, NJ 07095, USA","{'latitude': 40.556018699999996, 'longitude': -74.297831}","{'text': 'Embroidery Place', 'languageCode': 'en'}",https://www.instagram.com/embroideryplacewoodbridge/
places/ChIJieMx_z-2w4kRKwgAER9bKjc,"459 Menlo Park Dr, Edison, NJ 08837, USA","{'latitude': 40.546586, 'longitude': -74.33612260000001}","{'text': 'Embroidery Place', 'languageCode': 'en'}",http://instagram.com/embroiderymp
places/ChIJSX5fPltPwokRcm5MBP4AhO4,"66 Broadway Ste 4, Staten Island, NY 10310, USA","{'latitude': 40.6395341, 'longitude': -74.11816929999999}","{'text': 'Essential Embroidery', 'languageCode': 'en'}",http://essentialembroidery.com/
places/ChIJmx2_MtC1w4kRaG1yVwg07Us,"250 Woodbridge Center Dr, Woodbridge, NJ 07095, USA","{'latitude': 40.5565795, 'longitude': -74.29902489999999}","{'text': 'Prints & Stitches', 'languageCode': 'en'}",
places/ChIJCSqrgx26w4kRRER0Hh2e52E,"193 North Ave, Plainfield, NJ 07060, USA","{'latitude': 40.618916399999996, 'longitude': -74.4205431}","{'text': 'Jesus Embroidery & Screen Printing', 'languageCode': 'en'}",http://www.jesusembroidery.com/
places/ChIJq47pbjBFwokRy281H0s33Gk,"7915 7th Ave, Brooklyn, NY 11228, USA","{'latitude': 40.6231194, 'longitude': -74.01910579999999}","{'text': 'Signatures by ML Inc', 'languageCode': 'en'}",http://signaturesbyml.com/
places/ChIJx_DDQA3Pw4kR9q-MtrMM8Ic,"755 Rt-18, East Brunswick, NJ 08816, USA","{'latitude': 40.423018899999995, 'longitude': -74.3819583}","{'text': 'Flexy Custom Apparel', 'languageCode': 'en'}",http://www.flexyus.com/
places/ChIJHYHgNWKxw4kRWZILQSeRN5Q,"45 Brant Ave Ste.#8, Clark, NJ 07066, USA","{'latitude': 40.6238911, 'longitude': -74.3044067}","{'text': 'Jabs Personal Stitch Inc', 'languageCode': 'en'}",
places/ChIJuVaS61tMwokRbtnqnupbtWg,"1652 Richmond Ave, Staten Island, NY 10314, USA","{'latitude': 40.608257699999996, 'longitude': -74.16368059999999}","{'text': 'TeeStyles Embroidery & Screen Printing', 'languageCode': 'en'}",https://teestyles.com/
places/ChIJaSaWf9q3w4kR3DX5f3T25tE,"23 Adams St, Metuchen, NJ 08840, USA","{'latitude': 40.539486200000006, 'longitude': -74.3706867}","{'text': 'AbiliTees Unlimited, Inc.', 'languageCode': 'en'}",http://www.abilitees.com/
places/ChIJeSREhYqzw4kRAtRweD27Kys,"689 Jaques Ave, Rahway, NJ 07065, USA","{'latitude': 40.6000194, 'longitude': -74.2860864}","{'text': 'P J Screening & Embroidery Llc', 'languageCode': 'en'}",http://www.pjscreenprinting.com/
places/ChIJZzvPbjBFwokRsqw3Lz_9V2c,"5824 13th Ave, Brooklyn, NY 11219, USA","{'latitude': 40.6295812, 'longitude': -73.9979761}","{'text': 'LAX Embroidery', 'languageCode': 'en'}",http://www.laxembroidery.com/
places/ChIJadHuAj61w4kRX2du5z5EAUE,"11 Brick Ct, Staten Island, NY 10309, USA","{'latitude': 40.5384086, 'longitude': -74.24128019999999}","{'text': 'Siink Nyc', 'languageCode': 'en'}",
places/ChIJZSTO-0hDwokRL4GQZAd7K-s,"6315 Mill Ln, Brooklyn, NY 11234, USA","{'latitude': 40.6192626, 'longitude': -73.9155581}","{'text': 'New Age Embroidery And Screen Printing', 'languageCode': 'en'}",
places/ChIJMwUzwxyzw4kRGqyZPmEPfsc,"103 N Wood Ave, Linden, NJ 07036, USA","{'latitude': 40.63068380000001, 'longitude': -74.2526156}","{'text': 'QwertyDirect Printing & Embroidery', 'languageCode': 'en'}",
places/ChIJTzWy3EVFwokRmbrbFg0lhHY,"7919 7th Ave, Brooklyn, NY 11228, USA","{'latitude': 40.623036299999995, 'longitude': -74.0191282}","{'text': 'World Imprints', 'languageCode': 'en'}",
places/ChIJ__-DZqezw4kRWbgvjykJbv0,"316 Dalziel Rd, Linden, NJ 07036, USA","{'latitude': 40.623163, 'longitude': -74.2654132}","{'text': 'Pro Embroidery Plus', 'languageCode': 'en'}",
places/ChIJKSRUjXRNwokRovSq1QLrM9Q,"562 Bayway, Elizabeth, NJ 07202, USA","{'latitude': 40.6454391, 'longitude': -74.21384330000001}","{'text': 'J & V Embroidery & Printing', 'languageCode': 'es'}",
places/ChIJUeYPVPTJw4kRe1UI2y0hD78,"550 Hartle St Suite A, Sayreville, NJ 08872, USA","{'latitude': 40.450505799999995, 'longitude': -74.35517329999999}","{'text': 'Elite Custom Apparel', 'languageCode': 'en'}",https://elitecustomapparelnj.com/
places/ChIJU2mdSEG1w4kRySOkD1Mhb9o,"1260 St Georges Ave, Avenel, NJ 07001, USA","{'latitude': 40.5819799, 'longitude': -74.2932145}","{'text': 'The Marketing Rail - Print Shop For Custom Shirts & More', 'languageCode': 'en'}",http://themarketingrail.com/
places/ChIJJ09Qvd_Qw4kRCJGE9ZwOIy0,"65 Wilson Ave, Manalapan Township, NJ 07726, USA","{'latitude': 40.3098998, 'longitude': -74.3602607}","{'text': 'Coby Graphics', 'languageCode': 'en'}",https://cobygraphics.com/
places/ChIJ2dJ3toBLwokRboMfKcWTv0g,"2655 Richmond Ave, Staten Island, NY 10314, USA","{'latitude': 40.5817528, 'longitude': -74.16546819999999}","{'text': 'Embroidery Creations', 'languageCode': 'en'}",https://www.embroideryshopstatenisland.com/
places/ChIJOQeglJFNwokRso8ebx8o5Tg,"2315 Richmond Ave, Staten Island, NY 10314, USA","{'latitude': 40.591282, 'longitude': -74.1640461}","{'text': 'Embroidery Creations', 'languageCode': 'en'}",https://embroideryshopstatenisland.com/
places/ChIJq6oG_CVawokRLdaduADgBf0,"Appoinment Only, 108 Madison St, New York, NY 10002, USA","{'latitude': 40.712053999999995, 'longitude': -73.9951466}","{'text': 'JB Screen Printing & Embroidery', 'languageCode': 'en'}",http://www.jbprintny.com/
places/ChIJswWitMhEwokReKGzY1xQF40,"1396 Coney Island Ave, Brooklyn, NY 11230, USA","{'latitude': 40.6234665, 'longitude': -73.96518929999999}","{'text': 'Embroider a Gift', 'languageCode': 'en'}",
places/ChIJmRWEpe_Gw4kRSHlLfbksgHI,"873 Hamilton St, Somerset, NJ 08873, USA","{'latitude': 40.488613199999996, 'longitude': -74.480886}","{'text': ""Lorraine's Junior Department Store"", 'languageCode': 'en'}",http://lorrainesembroidery.com/
places/ChIJ6xDLj_1NwokROiAIYdRh4B4,"former location, 172 Broadway, Bayonne, NJ 07002, USA","{'latitude': 40.6520114, 'longitude': -74.1280006}","{'text': 'Mark Sportswear Screen Printing & Embroidery', 'languageCode': 'en'}",http://www.marksportswear.com/
places/ChIJPz8Go2PUw4kRgZ08bB2weR8,"588 Park Ave, Freehold, NJ 07728, USA","{'latitude': 40.2485298, 'longitude': -74.2707143}","{'text': 'Morales Embroidery & Screen Printing LLC', 'languageCode': 'en'}",http://www.moralesembroidery.com/
places/ChIJ9xCIr7JKwokRpGjZoB_CL1E,"280 Page Ave, Staten Island, NY 10307, USA","{'latitude': 40.516881399999995, 'longitude': -74.2346652}","{'text': 'Legends Sporting Goods / GothamOutfitters.com', 'languageCode': 'en'}",
places/ChIJCSv18axZwokR8DMn38zjo-Q,"256 W 38th St 1st fl, New York, NY 10018, USA","{'latitude': 40.754236, 'longitude': -73.990798}","{'text': 'Jonathan Embroidery Plus', 'languageCode': 'en'}",http://www.jeplus.com/
