name,formattedAddress,location,displayName,websiteUri
places/ChIJxaOvrV61w4kRaFa3cvPn2Vo,"240 Page Ave #105, Staten Island, NY 10314, USA","{'latitude': 40.5177549, 'longitude': -74.2360009}","{'text': 'Giftamillion.com', 'languageCode': 'en'}",
places/ChIJ73QRPVm1w4kRlUQkWi1R_ZY,"7001 Amboy Rd, Staten Island, NY 10307, USA","{'latitude': 40.516287500000004, 'longitude': -74.2340901}","{'text': 'Thriftway Card & Gift', 'languageCode': 'en'}",
places/ChIJ58eBP_u1w4kRpVlg_MjTI6A,"47 Dayna Ct, Perth Amboy, NJ 08861, USA","{'latitude': 40.5228213, 'longitude': -74.28358279999999}","{'text': ""Felicita's Gifts"", 'languageCode': 'en'}",
places/ChIJnQPwiC21w4kRAD3OXRINXhc,"2955 Veterans Rd W, Staten Island, NY 10309, USA","{'latitude': 40.5273545, 'longitude': -74.23255999999999}","{'text': 'Fumo Gift Shop', 'languageCode': 'en'}",
places/ChIJkTgwyaq1w4kRT8EF0knfbhU,"261 Madison Ave, Perth Amboy, NJ 08861, USA","{'latitude': 40.5081627, 'longitude': -74.27083200000001}","{'text': 'Ycapellan Gift Shop', 'languageCode': 'en'}",http://www.instagram.com/ycstorenow
places/ChIJLXya50vLw4kRPogZVXpBkco,"74 Buckingham Ave, Perth Amboy, NJ 08861, USA","{'latitude': 40.515819799999996, 'longitude': -74.26207169999999}","{'text': 'Faris Creativity', 'languageCode': 'es'}",
places/ChIJ5TwNl2S1w4kR1k4d-g0yBzA,"121 Markowitz St, Carteret, NJ 07008, USA","{'latitude': 40.5802732, 'longitude': -74.239677}","{'text': 'Awesome Gift Mall', 'languageCode': 'en'}",
places/ChIJST4BQZ_Kw4kRGCYoihtdLlI,"303C Page Ave, Staten Island, NY 10307, USA","{'latitude': 40.5168177, 'longitude': -74.2330848}","{'text': 'Petals on Page Florist', 'languageCode': 'en'}",http://www.petalsonpage.com/
places/ChIJLRK6uspLwokRhXxLELvxU8g,"4032 Hylan Blvd, Staten Island, NY 10308, USA","{'latitude': 40.5412563, 'longitude': -74.1467012}","{'text': 'Convenience Giftshop', 'languageCode': 'en'}",
places/ChIJR7hTSSSyw4kRN4ZgUfMuecE,"23 Westfield Ave, Clark, NJ 07066, USA","{'latitude': 40.618006199999996, 'longitude': -74.2962745}","{'text': 'Personally Yours Gift Baskets', 'languageCode': 'en'}",http://www.pygiftbaskets.com/
places/ChIJ7ZLLJUS1w4kRgFiq44LWyY0,"7305 Amboy Rd, Staten Island, NY 10307, USA","{'latitude': 40.5114223, 'longitude': -74.2409271}","{'text': ""Steph's Creativity Corner"", 'languageCode': 'en'}",http://stephscreativitycorner.com/
places/ChIJY9x8IkzKw4kR56tdFY4OoUA,"130 N Broadway, South Amboy, NJ 08879, USA","{'latitude': 40.4843532, 'longitude': -74.28103329999999}","{'text': ""O'Ireland Irish & Celtic"", 'languageCode': 'en'}",http://www.oireland.com/
places/ChIJsf7dVWhLwokRmXWDGQ5lo1o,"226 Billiou St, Staten Island, NY 10312, USA","{'latitude': 40.5323522, 'longitude': -74.18576279999999}","{'text': ""Theresa's Basket Bliss"", 'languageCode': 'en'}",
places/ChIJq677OnlLwokRnvB9f8Hs2jg,"262 Arden Ave, Staten Island, NY 10312, USA","{'latitude': 40.5528076, 'longitude': -74.19306449999999}","{'text': 'Cards And Gifts 50% Off.', 'languageCode': 'en'}",
places/ChIJ9xCIr7JKwokROEvPAqM6YhE,"6390 Amboy Rd, Staten Island, NY 10309, USA","{'latitude': 40.52222, 'longitude': -74.21575399999999}","{'text': 'Flowers By Bernard', 'languageCode': 'en'}",https://flowersbybernard.com/
places/ChIJVelpf_y3w4kRG2xnFMFodJ8,"1430 Oak Tree Rd suite C, Iselin, NJ 08830, USA","{'latitude': 40.5737294, 'longitude': -74.3279993}","{'text': 'Silver N Gifts', 'languageCode': 'en'}",http://silverngifts.com/
places/ChIJdTR6crDLw4kRubECVoqs2Ok,"191 Bayview Ave, South Amboy, NJ 08879, USA","{'latitude': 40.470399, 'longitude': -74.2772454}","{'text': 'The12stepstore.com in New Jersey', 'languageCode': 'en'}",http://www.the12stepstore.com/
places/ChIJ6WzuodBKwokR1DyrrUIZbus,"655 Rossville Ave, Staten Island, NY 10309, USA","{'latitude': 40.5429611, 'longitude': -74.2067931}","{'text': 'Edible Arrangements', 'languageCode': 'en'}",https://www.ediblearrangements.com/stores/655-rossville-ave-staten-island-ny-10309
places/ChIJPXvFarK1w4kRZXLfSI6EtIE,"394 Pearl St, Woodbridge, NJ 07095, USA","{'latitude': 40.555387, 'longitude': -74.27777}","{'text': 'Unique Collections', 'languageCode': 'en'}",
